"MERCHANT NAME","BRANCH NAME","NPWP","NOPD","BILL NO","DATE","TOTAL AMOUNT","SERVICE","PPN","TOTAL TRX AMOUNT","PAYMENT TYPE"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002636","2019-04-14 00:00:00","476000","0","0","555016","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002637","2019-04-14 00:00:00","476000","0","0","555016","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002638","2019-04-14 00:00:00","604000","0","0","704264","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002639","2019-04-14 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002640","2019-04-14 00:00:00","434000","0","0","506044","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002641","2019-04-14 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002644","2019-04-14 00:00:00","602000","0","0","701932","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002625","2019-04-14 00:00:00","434000","0","0","506044","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002626","2019-04-14 00:00:00","840000","0","0","979440","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002627","2019-04-14 00:00:00","1446000","0","0","1686036","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002628","2019-04-14 00:00:00","602000","0","0","701932","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002629","2019-04-14 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002630","2019-04-14 00:00:00","294000","0","0","342804","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002631","2019-04-14 00:00:00","504000","0","0","587664","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002632","2019-04-14 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002633","2019-04-14 00:00:00","336000","0","0","391776","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002634","2019-04-14 00:00:00","728000","0","0","848848","Unknown"
"ON-YASAI","ON-YASAI JGC","153060110004","1051705050027","A19160002635","2019-04-14 00:00:00","602000","0","0","701932","Unknown"
